date,gallons
2025-01-01,12.26953125
2025-01-02,9.80859375
2025-01-03,9.63671875
2025-01-04,12.703125
2025-01-05,12.12890625
2025-01-06,9.41015625
2025-01-07,8.29296875
2025-01-08,10.4609375
2025-01-09,10.5859375
2025-01-10,13.15625
2025-01-11,16.6328125
2025-01-12,15.6875
2025-01-13,13.3515625
2025-01-14,9.19921875
2025-01-15,10.8515625
2025-01-16,8.55078125
2025-01-17,16.9296875
2025-01-18,16.203125
2025-01-19,14.87890625
2025-01-20,11.5390625
2025-01-21,9.7890625
2025-01-22,11.6328125
2025-01-23,11.31640625
2025-01-24,13.296875
2025-01-25,18.80078125
2025-01-26,15.5
2025-01-27,10.97265625
2025-01-28,10.14453125
2025-01-29,10.21484375
2025-01-30,9.59765625
2025-01-31,13.42578125
2025-02-01,20.60546875
2025-02-02,12.27734375
2025-02-03,12.20703125
2025-02-04,10.21484375
2025-02-05,8.6796875
2025-02-06,9.4453125
2025-02-07,14.2109375
2025-02-08,16.41015625
2025-02-09,16.94921875
2025-02-10,8.6484375
2025-02-11,9.3828125
2025-02-12,9.0625
2025-02-13,10.98828125
2025-02-14,14.35546875
2025-02-15,13.20703125
2025-02-16,13.00390625
2025-02-17,9.2421875
2025-02-18,9.37890625
2025-02-19,9.0703125
2025-02-20,10.89453125
2025-02-21,10.4609375
2025-02-22,17.296875
2025-02-23,19.20703125
2025-02-24,8.99609375
2025-02-25,10.953125
2025-02-26,9.31640625
2025-02-27,11.63671875
2025-02-28,14.5390625
2025-03-01,15.1796875
2025-03-02,12.4921875
2025-03-03,8.95703125
2025-03-04,11.60546875
2025-03-05,8.8046875
2025-03-06,7.66015625
2025-03-07,12.19140625
2025-03-08,17.12109375
2025-03-09,14.265625
2025-03-10,9.5625
2025-03-11,11.87109375
2025-03-12,12.1171875
2025-03-13,12.9140625
2025-03-14,18.45703125
2025-03-15,18.71484375
2025-03-16,20.37109375
2025-03-17,11.1328125
2025-03-18,15.32421875
2025-03-19,11.4296875
2025-03-20,11.41796875
2025-03-21,17.328125
2025-03-22,19.71875
2025-03-23,18.00390625
2025-03-24,9.1953125
2025-03-25,12.94140625
2025-03-26,13.65234375
2025-03-27,14.77734375
2025-03-28,15.93359375
2025-03-29,21.890625
2025-03-30,19.109375
2025-03-31,11.83203125
2025-04-01,11.05859375
2025-04-02,12.88671875
2025-04-03,15.1796875
2025-04-04,15.9609375
2025-04-05,22.37890625
2025-04-06,18.0703125
2025-04-07,10.953125
2025-04-08,12.00390625
2025-04-09,12.2734375
2025-04-10,11.3203125
2025-04-11,16.63671875
2025-04-12,23.734375
2025-04-13,25.21484375
2025-04-14,14.3359375
2025-04-15,10.921875
2025-04-16,13.640625
2025-04-17,15.99609375
2025-04-18,20.17578125
2025-04-19,22.23046875
2025-04-20,11.9765625
2025-04-21,13.4609375
2025-04-22,11.8984375
2025-04-23,16.4921875
2025-04-24,15.3671875
2025-04-25,15.66015625
2025-04-26,21.859375
2025-04-27,20.3125
2025-04-28,14.96875
2025-04-29,15.859375
2025-04-30,28.22265625
2025-05-01,21.9921875
2025-05-02,20.91796875
2025-05-03,20.4921875
2025-05-04,16.3203125
2025-05-05,14.921875
2025-05-06,10.0546875
2025-05-07,10.64453125
2025-05-08,16.6484375
2025-05-09,14.73828125
2025-05-10,22.3515625
2025-05-11,21.41015625
2025-05-12,13.95703125
2025-05-13,11.1953125
2025-05-14,11.15234375
2025-05-15,14.74609375
2025-05-16,18.07421875
2025-05-17,18.09375
2025-05-18,17.8125
2025-05-19,10.21484375
2025-05-20,12.2578125
2025-05-21,10.76171875
2025-05-22,12.37109375
2025-05-23,11.80078125
2025-05-24,16.109375
2025-05-25,15.21484375
2025-05-26,14.57421875
2025-05-27,10.80859375
2025-05-28,7.69921875
2025-05-29,12.7890625
2025-05-30,13.609375
2025-05-31,16.671875
2025-06-01,17.265625
2025-06-02,11.390625
2025-06-03,11.7265625
2025-06-04,11.234375
2025-06-05,10.44921875
2025-06-06,13.23046875
2025-06-07,17.609375
2025-06-08,15.859375
2025-06-09,11.43359375
2025-06-10,9.70703125
2025-06-11,11.69921875
2025-06-12,11.1328125
2025-06-13,12.66796875
2025-06-14,17.33203125
2025-06-15,13.140625
2025-06-16,10.5859375
2025-06-17,10.41796875
2025-06-18,10.4921875
2025-06-19,15.37890625
2025-06-20,13.1015625
2025-06-21,13.66796875
2025-06-22,15.90234375
2025-06-23,11.78515625
2025-06-24,11.30078125
2025-06-25,11.765625
2025-06-26,10.85546875
2025-06-27,13.60546875
2025-06-28,15.6328125
2025-06-29,17.41796875
